"ZEIT";"RAUMID";"BEZ";"PGR";"BZR";"PLR";"BEZPGR";"E_E";"E_EM";"E_EW";"E_E00_01";"E_E01_02";"E_E02_03";"E_E03_05";"E_E05_06";"E_E06_07";"E_E07_08";"E_E08_10";"E_E10_12";"E_E12_14";"E_E14_15";"E_E15_18";"E_E18_21";"E_E21_25";"E_E25_27";"E_E27_30";"E_E30_35";"E_E35_40";"E_E40_45";"E_E45_50";"E_E50_55";"E_E55_60";"E_E60_63";"E_E63_65";"E_E65_67";"E_E67_70";"E_E70_75";"E_E75_80";"E_E80_85";"E_E85_90";"E_E90_95";"E_E95_110";"E_EU1";"E_E1U6";"E_E6U15";"E_E15U18";"E_E18U25";"E_E25U55";"E_E55U65";"E_E65U80";"E_E80U110"
"202512";"01100311";"01";"10";"03";"11";"0110";9935;4831;5104;73;83;85;168;80;67;100;164;169;147;70;215;260;694;391;530;949;903;661;552;413;477;287;184;179;249;419;323;423;417;158;45;73;416;717;215;954;4399;948;1170;1043
"202512";"01100312";"01";"10";"03";"12";"0110";10693;5409;5284;73;104;81;214;84;87;85;187;157;144;67;167;203;436;323;610;1229;1272;987;634;532;614;330;235;160;243;322;284;315;334;149;31;73;483;727;167;639;5587;1179;1009;829
"202512";"01100313";"01";"10";"03";"13";"0110";11650;5976;5674;108;100;78;187;83;85;101;170;160;141;83;181;383;765;456;789;1179;1231;965;788;576;637;401;236;207;278;373;259;278;279;71;22;108;448;740;181;1148;5984;1274;1117;650
"202512";"01100414";"01";"10";"04";"14";"0110";5566;2848;2718;57;87;76;116;80;78;64;141;102;87;37;93;126;179;186;352;882;910;609;398;268;224;100;60;40;51;69;28;29;25;6;6;57;359;509;93;305;3605;384;188;66
"202512";"01100415";"01";"10";"04";"15";"0110";13460;6722;6738;100;104;105;238;114;100;99;231;198;244;117;384;406;669;419;795;1463;1553;1188;1093;1055;1059;464;250;177;244;239;148;129;69;6;0;100;561;989;384;1075;7566;1773;808;204
"202512";"01100416";"01";"10";"04";"16";"0110";13760;6899;6861;130;127;133;247;124;113;94;243;229;222;116;371;360;522;358;818;1489;1676;1284;1212;1130;1011;464;191;170;206;262;182;131;103;42;0;130;631;1017;371;882;7967;1666;820;276
"202512";"01200517";"01";"20";"05";"17";"0120";3979;2244;1735;22;40;28;46;22;34;31;57;54;60;30;103;134;303;205;344;526;445;317;232;193;174;123;84;73;77;83;73;36;24;6;0;22;136;266;103;437;2262;381;306;66
"202512";"01200518";"01";"20";"05";"18";"0120";7155;3857;3298;56;60;64;122;63;53;39;104;88;89;53;110;276;589;365;640;994;769;521;384;331;348;217;134;110;133;187;111;74;37;28;6;56;309;426;110;865;4004;699;541;145
"202512";"01200519";"01";"20";"05";"19";"0120";9525;5060;4465;55;71;66;144;55;64;61;137;135;115;74;208;286;537;374;800;1288;1064;756;581;519;461;304;196;149;204;316;222;166;92;16;9;55;336;586;208;823;5382;961;891;283
"202512";"01200520";"01";"20";"05";"20";"0120";9696;5038;4658;71;53;65;121;70;68;63;145;117;117;59;220;243;599;378;808;1237;997;721;589;489;528;363;236;200;273;341;257;160;81;18;9;71;309;569;220;842;5219;1127;1071;268
"202512";"01200521";"01";"20";"05";"21";"0120";5176;2799;2377;38;34;57;71;42;38;39;96;89;73;31;147;149;281;215;418;625;528;371;338;252;314;171;101;101;141;151;131;65;56;10;3;38;204;366;147;430;2747;586;524;134
"202512";"01200522";"01";"20";"05";"22";"0120";11548;5691;5857;79;92;89;153;102;88;75;161;146;125;70;225;291;509;401;678;1196;1074;745;700;636;721;532;351;309;376;585;439;315;187;70;28;79;436;665;225;800;5430;1604;1709;600
"202512";"01200623";"01";"20";"06";"23";"0120";11016;5785;5231;91;87;85;201;69;82;79;144;167;158;74;240;312;563;465;896;1495;1307;849;723;583;618;406;207;153;218;275;219;115;95;34;6;91;442;704;240;875;6318;1231;865;250
"202512";"01200624";"01";"20";"06";"24";"0120";7481;4010;3471;126;113;109;209;69;73;70;112;116;83;39;92;200;430;335;682;1328;1265;674;373;267;233;98;63;62;48;74;54;47;28;6;3;126;500;493;92;630;4924;394;238;84
"202512";"01200625";"01";"20";"06";"25";"0120";6724;3376;3348;51;56;50;106;45;67;70;122;142;108;68;221;203;341;246;401;738;624;495;393;396;364;253;121;121;156;253;205;163;102;37;6;51;257;577;221;544;3293;738;735;308
"202512";"01200626";"01";"20";"06";"26";"0120";5970;3033;2937;33;40;37;68;44;37;37;74;87;83;30;110;121;291;174;387;676;581;485;385;349;402;221;150;129;151;262;195;175;108;37;11;33;189;348;110;412;3037;773;737;331
"202512";"01200627";"01";"20";"06";"27";"0120";3326;1663;1663;23;19;32;80;56;41;50;112;98;82;39;130;144;159;96;137;234;283;194;217;183;176;133;71;74;80;133;99;79;57;9;6;23;187;422;130;303;1344;380;386;151
"202512";"01200628";"01";"20";"06";"28";"0120";3317;1715;1602;21;35;21;75;21;30;18;49;35;43;18;57;86;153;108;196;385;339;260;238;176;228;142;72;73;80;132;84;73;51;12;6;21;152;193;57;239;1702;442;369;142
"202512";"01200629";"01";"20";"06";"29";"0120";5988;3074;2914;31;26;36;69;36;27;35;71;57;66;28;79;144;454;286;454;666;544;356;293;264;357;247;135;115;158;269;249;226;146;48;16;31;167;284;79;598;2863;739;791;436
"202512";"01300730";"01";"30";"07";"30";"0130";8051;4285;3766;67;85;86;162;80;79;88;173;161;172;96;299;326;543;342;544;848;757;518;528;450;419;226;168;131;152;204;150;109;61;17;10;67;413;769;299;869;3987;813;637;197
"202512";"01300731";"01";"30";"07";"31";"0130";8936;4703;4233;81;80;82;149;82;79;73;169;150;167;86;264;291;611;406;684;978;905;681;502;451;496;268;169;145;178;241;184;151;92;35;6;81;393;724;264;902;4607;933;748;284
"202512";"01300732";"01";"30";"07";"32";"0130";9985;5175;4810;84;99;87;201;123;104;81;221;222;204;107;285;332;558;373;662;1131;1009;777;666;568;511;327;172;161;193;236;162;138;143;42;6;84;510;939;285;890;5186;1010;752;329
"202512";"01300733";"01";"30";"07";"33";"0130";11567;6019;5548;84;95;102;190;87;102;109;210;236;236;118;329;426;639;464;689;1244;1143;941;755;758;677;371;235;188;225;316;260;173;119;40;6;84;474;1011;329;1065;5994;1283;989;338
"202512";"01300834";"01";"30";"08";"34";"0130";14258;7120;7138;104;131;144;301;154;177;166;364;382;349;176;530;544;746;437;682;1204;1332;1043;1009;856;762;513;277;259;316;482;350;240;157;62;9;104;730;1614;530;1290;6563;1552;1407;468
"202512";"01300835";"01";"30";"08";"35";"0130";10751;5322;5429;59;78;76;167;101;106;108;212;224;198;81;309;509;832;396;570;902;824;725;699;553;570;427;252;210;270;354;340;303;195;80;21;59;422;929;309;1341;4669;1249;1174;599
"202512";"01300836";"01";"30";"08";"36";"0130";15143;8021;7122;99;133;126;273;162;130;132;299;274;291;170;450;515;1008;657;1062;1800;1483;1196;980;867;770;454;268;254;279;324;279;203;139;51;15;99;694;1296;450;1523;8045;1492;1136;408
"202512";"01400937";"01";"40";"09";"37";"0140";11107;5708;5399;91;90;84;176;81;71;81;202;166;141;70;239;313;580;432;694;1224;1050;778;704;560;699;426;322;262;290;424;310;273;188;57;29;91;431;731;239;893;5442;1447;1286;547
"202512";"01400938";"01";"40";"09";"38";"0140";9702;5091;4611;57;75;82;131;73;74;76;131;127;139;66;193;289;540;382;757;1251;1047;729;627;476;536;313;185;169;236;322;198;211;158;49;3;57;361;613;193;829;5269;1034;925;421
"202512";"01400939";"01";"40";"09";"39";"0140";6127;3173;2954;41;70;53;90;49;49;68;103;77;93;49;119;156;391;237;445;723;644;491;369;330;354;210;126;102;126;168;142;129;84;39;0;41;262;439;119;547;3239;690;538;252
"202512";"01400940";"01";"40";"09";"40";"0140";7290;3505;3785;64;71;74;160;111;69;72;131;129;129;55;155;150;313;237;352;594;634;485;371;359;452;324;202;188;235;387;309;236;162;58;22;64;416;585;155;463;3032;978;1119;478
"202512";"01400941";"01";"40";"09";"41";"0140";3832;1804;2028;24;30;28;72;28;29;39;57;48;55;22;83;98;180;130;184;277;290;242;170;185;202;151;93;90;113;211;164;226;206;84;21;24;158;250;83;278;1478;446;578;537
"202512";"01400942";"01";"40";"09";"42";"0140";8527;4391;4136;73;65;64;109;76;61;70;115;101;88;54;149;270;563;350;682;1160;928;638;554;474;466;290;194;126;207;239;178;111;57;12;3;73;314;489;149;833;4786;950;750;183
"202512";"01401043";"01";"40";"10";"43";"0140";7607;3911;3696;43;74;52;140;56;64;63;110;133;126;76;241;293;450;303;508;796;705;499;463;480;413;302;160;127;199;224;205;157;105;27;13;43;322;572;241;743;3754;875;755;302
"202512";"01401044";"01";"40";"10";"44";"0140";10256;5410;4846;80;89;83;198;82;95;92;192;197;180;85;329;304;556;393;775;1310;1069;848;641;571;552;331;171;150;188;242;207;143;82;21;0;80;452;841;329;860;5607;1054;787;246
"202512";"01401045";"01";"40";"10";"45";"0140";5466;2911;2555;35;40;40;82;64;49;59;110;110;125;67;159;189;361;216;372;656;551;409;390;335;282;178;97;79;103;135;73;46;42;12;0;35;226;520;159;550;2929;557;390;100
"202512";"01401046";"01";"40";"10";"46";"0140";8870;4675;4195;54;64;77;154;61;64;59;108;120;105;35;168;277;511;412;757;1251;1047;700;573;409;499;326;155;145;208;232;156;74;52;13;4;54;356;491;168;788;5149;980;741;143
"202512";"01401047";"01";"40";"10";"47";"0140";8086;4372;3714;57;56;60;113;45;66;62;125;107;113;53;199;296;665;442;806;1130;884;695;440;380;363;188;129;107;107;150;125;66;39;15;3;57;274;526;199;961;4777;680;489;123
"202512";"01401048";"01";"40";"10";"48";"0140";9575;5128;4447;67;66;82;151;68;61;47;130;115;116;61;225;351;757;480;757;1189;1064;762;581;481;481;320;180;158;196;250;161;117;83;18;0;67;367;530;225;1108;5314;981;765;218
"202512";"01401049";"01";"40";"10";"49";"0140";6540;3316;3224;34;46;37;97;50;67;53;116;76;110;58;162;203;312;199;390;621;611;400;352;381;412;288;152;169;204;304;233;197;133;57;16;34;230;480;162;515;2954;852;910;403
"202512";"02100101";"02";"10";"01";"01";"0210";7741;4097;3644;66;90;69;142;64;68;65;122;143;132;59;201;289;520;326;528;923;874;592;466;435;384;218;146;112;147;203;148;96;75;25;13;66;365;589;201;809;4144;748;610;209
"202512";"02100102";"02";"10";"01";"02";"0210";8669;4424;4245;61;84;74;148;80;79;82;175;171;165;93;303;350;538;317;538;774;752;628;543;553;529;331;155;182;179;256;234;155;103;31;6;61;386;765;303;888;4105;1015;851;295
"202512";"02100103";"02";"10";"01";"03";"0210";5400;2687;2713;35;42;45;114;52;52;49;112;91;125;61;159;207;278;170;303;541;515;421;335;313;344;221;104;106;121;178;118;95;69;21;3;35;253;490;159;485;2598;669;523;188
"202512";"02100104";"02";"10";"01";"04";"0210";5522;2812;2710;41;53;53;93;32;51;37;101;105;112;46;187;221;323;200;285;523;419;399;379;388;384;258;122;107;161;156;119;86;52;29;0;41;231;452;187;544;2593;764;543;167
"202512";"02100105";"02";"10";"01";"05";"0210";9094;4589;4505;61;72;71;146;78;91;83;158;172;183;88;307;293;466;300;466;885;836;645;599;619;572;368;197;186;220;289;245;181;147;58;12;61;367;775;307;759;4350;1137;940;398
"202512";"02100106";"02";"10";"01";"06";"0210";4786;2430;2356;22;37;28;67;48;34;45;90;93;68;59;199;195;221;146;251;379;428;351;334;294;325;203;137;97;138;187;148;86;57;16;3;22;180;389;199;416;2183;665;570;162
"202512";"02200207";"02";"20";"02";"07";"0220";2662;1321;1341;39;31;31;61;31;31;33;53;61;56;31;82;56;103;47;105;283;301;240;218;139;82;78;54;43;70;150;90;45;12;6;0;39;154;265;82;159;1333;214;353;63
"202512";"02200208";"02";"20";"02";"08";"0220";5562;2793;2769;28;50;33;92;43;47;51;79;98;99;42;140;174;236;176;340;539;533;464;359;339;389;257;168;116;166;200;137;85;64;12;6;28;218;416;140;410;2750;814;619;167
"202512";"02200209";"02";"20";"02";"09";"0220";10912;5546;5366;73;85;87;164;116;87;77;202;186;181;75;283;284;451;294;558;1130;1119;964;875;730;725;439;287;238;269;376;284;152;92;18;11;73;452;808;283;735;5670;1451;1167;273
"202512";"02200210";"02";"20";"02";"10";"0220";12259;6268;5991;85;77;79;174;92;107;93;193;179;182;81;286;318;562;354;676;1323;1304;1083;969;787;782;535;324;245;325;430;276;185;114;27;12;85;422;835;286;880;6496;1641;1276;338
"202512";"02200211";"02";"20";"02";"11";"0220";14498;7279;7219;108;97;98;206;108;111;100;234;209;178;95;261;498;673;453;755;1346;1363;1223;1030;911;1118;720;427;385;460;570;358;217;129;41;16;108;509;927;261;1171;7081;2265;1773;403
"202512";"02200212";"02";"20";"02";"12";"0220";8217;4104;4113;58;71;70;151;76;90;73;147;138;152;68;244;215;348;208;388;781;865;700;663;516;587;378;190;175;226;287;164;107;55;18;8;58;368;668;244;563;4121;1155;852;188
"202512";"02200213";"02";"20";"02";"13";"0220";9833;4910;4923;60;56;73;146;68;71;85;139;170;138;64;225;243;366;269;537;1074;1035;941;809;656;614;403;264;230;262;334;213;158;81;40;9;60;343;667;225;609;5321;1281;1039;288
"202512";"02300314";"02";"30";"03";"14";"0230";7046;3730;3316;25;37;40;105;40;61;49;121;96;133;45;170;192;334;196;350;590;571;588;651;564;536;366;188;157;178;247;194;137;64;13;8;25;222;505;170;526;3510;1090;776;222
"202512";"02300315";"02";"30";"03";"15";"0230";8126;4246;3880;51;58;54;109;64;44;65;132;129;110;70;228;276;401;217;384;680;827;706;679;576;565;371;217;196;262;255;183;127;65;22;3;51;285;550;228;677;4069;1153;896;217
"202512";"02300316";"02";"30";"03";"16";"0230";4184;2163;2021;41;27;21;60;30;19;27;59;63;70;30;103;106;186;130;191;392;387;398;352;315;265;199;95;100;104;163;98;67;50;33;3;41;138;268;103;292;2165;559;465;153
"202512";"02300417";"02";"30";"04";"17";"0230";8302;4281;4021;59;46;58;123;54;63;55;146;142;124;75;204;244;391;273;474;785;933;793;706;582;516;291;183;154;175;242;176;119;75;32;9;59;281;605;204;635;4546;990;747;235
"202512";"02300418";"02";"30";"04";"18";"0230";7571;3890;3681;48;47;46;109;61;52;50;121;113;103;53;159;186;299;232;458;773;820;743;642;581;510;333;164;149;167;245;140;97;49;15;6;48;263;492;159;485;4249;1007;701;167
"202512";"02300419";"02";"30";"04";"19";"0230";10289;5422;4867;65;62;69;138;76;70;70;149;138;140;63;200;251;487;320;601;1124;1175;1042;909;706;653;424;230;181;248;272;193;135;62;30;6;65;345;630;200;738;5877;1307;894;233
"202512";"02400520";"02";"40";"05";"20";"0240";5949;2867;3082;33;46;50;120;48;58;55;109;101;85;48;133;158;215;149;279;500;494;401;315;274;339;221;130;139;172;310;223;350;285;89;20;33;264;456;133;373;2412;690;844;744
"202512";"02400521";"02";"40";"05";"21";"0240";8906;4432;4474;96;100;73;171;92;96;87;170;161;107;68;167;176;336;269;546;1097;1130;845;605;418;431;279;164;131;175;238;171;235;167;85;20;96;436;689;167;512;4910;874;715;507
"202512";"02400522";"02";"40";"05";"22";"0240";11508;5735;5773;90;87;97;227;91;110;110;222;190;183;86;229;232;381;325;697;1366;1478;1224;952;661;632;298;189;173;228;253;160;244;196;68;29;90;502;901;229;613;6703;1119;814;537
"202512";"02400623";"02";"40";"06";"23";"0240";14345;7168;7177;98;122;107;270;139;140;124;258;232;199;94;281;358;938;576;947;1757;1512;1109;751;616;684;371;256;232;381;442;328;438;380;167;38;98;638;1047;281;1296;7268;1311;1383;1023
"202512";"02400624";"02";"40";"06";"24";"0240";12126;6407;5719;83;95;88;169;92;87;76;145;162;135;68;248;476;833;472;804;1338;1419;1124;1025;652;682;388;221;154;202;263;163;244;149;63;6;83;444;673;248;1309;6834;1291;782;462
"202512";"02400625";"02";"40";"06";"25";"0240";1299;721;578;10;16;6;21;9;3;13;22;21;15;6;17;36;46;48;115;272;265;150;72;30;30;22;6;18;12;12;6;0;0;0;0;10;52;80;17;82;952;58;48;0
"202512";"02500726";"02";"50";"07";"26";"0250";9193;4878;4315;70;87;67;142;84;76;74;142;116;124;49;165;180;385;290;671;1279;1399;1094;862;468;464;217;120;84;118;147;68;84;52;15;0;70;380;581;165;565;6063;801;417;151
"202512";"02500727";"02";"50";"07";"27";"0250";6470;3327;3143;54;60;64;110;58;45;39;119;101;92;44;153;144;247;173;374;848;905;725;570;362;355;155;121;75;101;119;68;68;71;30;20;54;292;440;153;391;3957;631;363;189
"202512";"02500728";"02";"50";"07";"28";"0250";10103;5169;4934;80;67;79;195;67;101;66;181;162;162;55;228;240;430;257;701;1333;1440;1181;1002;688;535;249;126;100;112;119;69;37;29;12;0;80;408;727;228;670;6602;910;400;78
"202512";"02500729";"02";"50";"07";"29";"0250";5430;2847;2583;47;55;45;91;60;44;48;118;118;96;41;100;128;223;191;300;643;725;651;516;354;266;116;75;77;89;99;49;37;18;7;3;47;251;465;100;351;3380;457;314;65
"202512";"02500830";"02";"50";"08";"30";"0250";3966;2097;1869;30;40;38;67;35;28;32;65;51;42;22;66;74;190;120;280;582;541;446;329;259;208;100;40;46;53;75;43;25;30;6;3;30;180;240;66;264;2557;348;217;64
"202512";"02500831";"02";"50";"08";"31";"0250";7826;4039;3787;62;63;58;118;68;47;54;125;110;124;45;156;171;356;259;501;1092;1164;951;658;432;411;222;111;79;107;109;73;55;18;24;3;62;307;505;156;527;5057;744;368;100
"202512";"02500832";"02";"50";"08";"32";"0250";9594;5093;4501;87;104;83;188;87;119;95;170;128;152;81;167;208;409;317;666;1467;1570;1164;774;497;390;172;84;80;89;97;81;44;9;15;0;87;462;745;167;617;6455;646;347;68
"202512";"02500833";"02";"50";"08";"33";"0250";9998;5200;4798;69;64;61;162;56;61;92;146;114;138;37;147;139;393;408;798;1564;1580;1209;904;612;469;226;128;102;83;126;40;46;21;3;0;69;343;588;147;532;7075;823;351;70
"202512";"02500834";"02";"50";"08";"34";"0250";11310;5907;5403;82;76;84;197;74;87;100;194;197;183;63;252;229;484;420;844;1504;1556;1256;1064;755;624;294;121;116;114;148;76;65;41;10;0;82;431;824;252;713;7399;1039;454;116
"202512";"02500835";"02";"50";"08";"35";"0250";8939;4758;4181;78;81;96;141;79;66;70;152;122;110;56;147;242;512;391;718;1259;1359;920;717;407;332;175;113;100;90;147;79;76;64;37;3;78;397;576;147;754;5771;620;416;180
"202512";"02500836";"02";"50";"08";"36";"0250";5154;2556;2598;46;68;63;149;72;79;77;141;146;106;54;144;115;77;68;137;397;611;597;464;342;346;156;76;69;87;134;106;84;79;49;15;46;352;603;144;192;2616;578;396;227
"202512";"03100101";"03";"10";"01";"01";"0310";4756;2505;2251;33;42;40;114;76;70;55;107;113;106;46;127;107;122;89;172;291;434;454;409;298;320;176;135;91;133;202;141;134;82;34;3;33;272;497;127;229;2147;631;567;253
"202512";"03100102";"03";"10";"01";"02";"0310";3546;1824;1722;40;42;33;64;29;38;39;52;60;59;24;84;104;181;96;156;265;308;251;255;167;170;122;81;60;94;147;104;178;161;66;16;40;168;272;84;285;1498;373;405;421
"202512";"03100103";"03";"10";"01";"03";"0310";9532;4617;4915;66;96;94;200;98;104;93;222;196;183;114;303;344;462;250;332;553;715;718;560;470;503;330;234;231;274;496;381;449;317;113;31;66;488;912;303;806;3598;1067;1382;910
"202512";"03200204";"03";"20";"02";"04";"0320";2106;1077;1029;12;12;12;18;25;18;15;28;42;46;34;68;49;54;34;31;70;122;114;134;152;194;138;84;78;98;152;83;106;59;18;6;12;67;183;68;103;657;416;411;189
"202512";"03200205";"03";"20";"02";"05";"0320";9078;4336;4742;59;84;74;151;72;82;89;183;211;176;103;314;346;395;189;299;411;621;654;592;643;793;434;290;209;279;381;359;271;197;73;44;59;381;844;314;741;3409;1517;1228;585
"202512";"03200206";"03";"20";"02";"06";"0320";6833;3292;3541;34;50;59;129;68;76;69;170;162;152;85;230;278;352;168;198;426;541;500;498;490;569;286;160;101;163;232;178;203;149;51;6;34;306;714;230;630;2821;1015;674;409
"202512";"03200207";"03";"20";"02";"07";"0320";11978;5840;6138;81;87;98;226;123;117;118;286;307;282;145;378;333;477;250;361;696;907;1024;924;811;1003;556;299;272;334;486;337;306;249;89;16;81;534;1255;378;810;4973;1858;1429;660
"202512";"03200308";"03";"20";"03";"08";"0320";5252;2574;2678;24;34;34;99;40;55;66;93;131;130;57;215;152;154;60;120;202;355;417;405;366;465;338;187;167;155;275;161;152;116;18;9;24;207;532;215;306;1925;990;758;295
"202512";"03200309";"03";"20";"03";"09";"0320";5551;2787;2764;30;28;49;102;63;67;86;127;182;123;67;181;164;183;85;106;226;428;438;387;328;486;277;202;152;205;267;175;170;114;37;16;30;242;652;181;347;1998;965;799;337
"202512";"03200310";"03";"20";"03";"10";"0320";8165;3925;4240;61;66;74;173;77;93;109;203;171;177;89;255;259;246;136;224;348;652;716;631;477;592;445;256;215;293;370;241;259;186;59;12;61;390;842;255;505;3184;1293;1119;516
"202512";"03300411";"03";"30";"04";"11";"0330";11704;5657;6047;110;99;112;284;164;179;169;374;379;323;140;438;363;446;230;348;613;992;1014;796;646;761;488;291;252;311;450;314;294;207;102;15;110;659;1564;438;809;4639;1540;1327;618
"202512";"03300412";"03";"30";"04";"12";"0330";5275;2615;2660;35;36;35;102;54;51;54;117;99;99;42;141;128;156;78;112;148;328;364;325;313;450;324;213;185;239;359;215;255;157;49;12;35;227;462;141;284;1668;987;998;473
"202512";"03300413";"03";"30";"04";"13";"0330";3170;1582;1588;12;26;18;51;31;33;42;64;87;69;37;106;107;90;48;48;92;175;208;259;210;277;214;117;103;123;196;120;97;76;25;9;12;126;332;106;197;1040;608;542;207
"202512";"03300514";"03";"30";"05";"14";"0330";6759;3339;3420;34;18;35;91;60;60;69;138;157;172;78;237;201;162;84;91;189;330;501;465;462;607;455;266;216;281;417;290;302;183;96;12;34;204;674;237;363;2122;1328;1204;593
"202512";"03300515";"03";"30";"05";"15";"0330";41;22;19;0;0;0;0;0;0;0;4;0;0;0;3;0;3;0;3;0;3;6;3;0;0;3;0;3;0;4;0;3;3;0;0;0;0;4;3;3;15;3;7;6
"202512";"03300516";"03";"30";"05";"16";"0330";10271;5252;5019;102;116;115;263;132;126;112;230;212;218;82;259;292;483;251;442;739;932;694;589;543;675;482;281;235;275;452;331;288;220;81;19;102;626;980;259;775;4190;1438;1293;608
"202512";"03300517";"03";"30";"05";"17";"0330";1050;537;513;0;4;0;15;6;7;3;12;16;13;18;34;28;28;6;9;16;38;61;82;84;100;64;50;32;68;72;64;62;39;19;0;0;25;69;34;56;296;214;236;120
"202512";"03400618";"03";"40";"06";"18";"0340";4740;2348;2392;30;31;30;81;42;45;58;101;123;130;60;177;181;164;81;124;237;262;357;335;331;462;289;176;122;148;199;135;122;77;24;6;30;184;517;177;345;1727;927;604;229
"202512";"03400619";"03";"40";"06";"19";"0340";10696;5186;5510;72;79;75;202;94;116;87;206;188;155;95;298;283;470;241;312;555;837;771;670;671;866;575;322;272;330;491;432;455;364;103;9;72;450;847;298;753;4057;1763;1525;931
"202512";"03400620";"03";"40";"06";"20";"0340";3590;1718;1872;22;28;27;49;41;23;36;57;61;74;52;147;153;139;58;88;119;221;207;241;271;320;175;104;100;116;168;139;156;130;49;19;22;145;303;147;292;1205;599;523;354
"202512";"03400721";"03";"40";"07";"21";"0340";11897;5740;6157;95;95;101;233;115;130;129;297;295;309;143;460;414;442;221;457;846;1110;1069;1110;981;909;436;197;139;191;296;218;210;163;59;27;95;544;1303;460;856;5794;1542;844;459
"202512";"03400722";"03";"40";"07";"22";"0340";3823;1734;2089;21;36;36;63;28;31;36;73;65;82;33;141;137;149;80;125;202;299;254;255;271;324;166;75;90;82;131;101;180;161;66;30;21;163;320;141;286;1486;565;404;437
"202512";"03400723";"03";"40";"07";"23";"0340";7584;3706;3878;67;69;70;203;85;92;82;203;194;183;62;239;201;326;218;318;660;853;703;648;436;445;196;153;132;129;234;134;106;92;48;3;67;427;816;239;527;3836;794;629;249
"202512";"03400724";"03";"40";"07";"24";"0340";8474;3914;4560;68;63;69;177;112;101;108;174;156;176;72;270;245;311;209;393;583;745;683;604;535;532;349;223;175;186;290;240;296;225;82;22;68;421;787;270;556;3752;1104;891;625
"202512";"03400725";"03";"40";"07";"25";"0340";7717;3536;4181;45;60;60;148;70;69;85;183;176;151;83;211;180;251;154;244;388;643;596;483;411;571;368;220;187;235;272;214;340;479;112;28;45;338;747;211;431;2919;1159;908;959
"202512";"03400826";"03";"40";"08";"26";"0340";7217;3536;3681;56;54;74;146;60;65;69;159;149;134;74;214;211;281;196;345;563;670;618;519;424;493;278;164;141;166;256;167;171;196;92;12;56;334;650;214;492;3335;935;730;471
